week,weekly_losses,cumulative_losses,rolling_4_week_avg
2025-12-08,25,22320,35.25
2025-12-15,64,22384,42.75
2025-12-22,70,22454,49.75
2025-12-29,50,22504,52.25
2026-01-05,27,22531,52.75
2026-01-12,27,22558,43.5
2026-01-19,26,22584,32.5
2026-01-26,19,22603,24.75
2026-02-02,21,22624,23.25
2026-02-09,26,22650,23.0
2026-02-16,29,22679,23.75
2026-02-23,28,22707,26.0
2026-03-02,27,22734,27.5
2026-03-09,55,22789,34.75
2026-03-16,56,22845,41.5
2026-03-23,45,22890,45.75
2026-03-30,26,22916,45.5
2026-04-06,19,22935,36.5
2026-04-13,37,22972,31.75
2026-04-20,24,22996,26.5
2026-04-27,29,23025,27.25
2026-05-04,32,23057,30.5
2026-05-11,26,23083,27.75
2026-05-18,57,23140,36.0
2026-05-25,49,23189,41.0
2026-06-01,31,23220,40.75
2026-06-08,55,23275,48.0
2026-06-15,40,23315,43.75
2026-06-22,45,23360,42.75
2026-06-29,33,23393,43.25
2026-07-06,43,23436,40.25
2026-07-13,31,23467,38.0
2026-07-20,34,23501,35.25
2026-07-27,27,23528,33.75
2026-08-03,26,23554,29.5
2026-08-10,24,23578,27.75
2026-08-17,24,23602,25.25
2026-08-24,26,23628,25.0
2026-08-31,29,23657,25.75
2026-09-07,22,23679,25.25
2026-09-14,18,23697,23.75
